;energy;liveness;speechiness;acousticness;instrumentalness;danceability;valence;uri;song_names;artist
36;0.773;0.305;0.0369;0.0022;0.835;0.49200000000000005;0.19699999999999998;spotify:track:1xrr9bAS0zfjCXdLKpLJnA;Swoon;The Chemical Brothers
37;0.743;0.309;0.0494;0.282;0.8029999999999999;0.669;0.27899999999999997;spotify:track:7cMFjxhbXBpOlais7KMF3j;Voyager;Daft Punk
38;0.87;0.264;0.027999999999999997;0.00441;9.82e-05;0.6829999999999999;0.519;spotify:track:0AEB5IhgCxr4Nt8L5CrRBX;Vanished;Crystal Castles
39;0.92;0.114;0.0531;0.11900000000000001;0.508;0.632;0.363;spotify:track:7kXmJwrZGIhDaLT9sNo3ut;Hey Boy Hey Girl;The Chemical Brothers
40;0.6970000000000001;0.332;0.133;0.0193;0.0;0.611;0.47600000000000003;spotify:track:0DiWol3AO6WpXZgp0goxAV;One More Time;Daft Punk
41;0.215;0.10800000000000001;0.0564;0.8420000000000001;0.976;0.61;0.915;spotify:track:5ek9nshXGyqVHpMnwCEfqB;Sonata Quinta in g minor, Op. 26: Giga: Staccatto;Brandywine Baroque: Douglas McNames, Karen Flint & Vivian Barton
42;0.617;0.315;0.0587;0.301;0.23399999999999999;0.7390000000000001;0.36;spotify:track:4lbHRvj5vJbuonQtxQkxok;Sexto Contagio: Arroz Congrí;Alonso Arreola
43;0.858;0.0906;0.0523;0.297;0.00323;0.65;0.955;spotify:track:5ewxaF5cInYvQ8oeNKeN6d;Jupiter;Earth, Wind & Fire
44;0.872;0.22;0.0787;0.00884;0.381;0.655;0.664;spotify:track:7Gf3INxZR3MOAVkSOKC3p0;Dirty;Earth, Wind & Fire
45;0.6779999999999999;0.0873;0.0301;0.457;0.0384;0.436;0.19399999999999998;spotify:track:1hHuyqVCZCbhYQixEkdQCo;Sing For Absolution;Muse
46;0.723;0.0863;0.0312;0.00405;0.501;0.5579999999999999;0.526;spotify:track:0qG1teoBvooRo7Z5Z8edCk;La ritournelle;Sébastien Tellier
47;0.753;0.131;0.0429;0.473;0.9109999999999999;0.8270000000000001;0.747;spotify:track:2Lt6XpDCo3xETDwWgvZJIY;Murderers;John Frusciante
48;0.0754;0.128;0.0504;0.943;0.894;0.386;0.6509999999999999;spotify:track:45wXZS6elH1pyW5jMkYPrp;Cello Suite No. 5 in C Minor, BWV 1011: V. Gavottes I & II;Johann Sebastian Bach
49;0.74;0.13;0.0258;0.0022600000000000003;0.0305;0.7290000000000001;0.966;spotify:track:5KBU7oxkNJ0hDGby9A1plU;After the Disco;Broken Bells
0;0.636;0.354;0.0378;0.341;0.0188;0.6;0.9470000000000001;spotify:track:1cEFitYL6rh9iKFzD8Czkh;Ya Se Ha Muerto Mi Abuelo;Juaneco Y Su Combo
1;0.585;0.146;0.0839;0.769;0.0;0.535;0.8490000000000001;spotify:track:4usEazO86mnTtVevxzEfeh;Ta Pillao;Las Chicas Del Can
2;0.816;0.0967;0.16699999999999998;0.228;0.0;0.653;0.816;spotify:track:6rPO02ozF3bM7NnOV4h6s2;Despacito - Remix;Luis Fonsi
3;0.821;0.11699999999999999;0.0377;0.154;0.0233;0.7959999999999999;0.799;spotify:track:7v8xMXZUe3ZPzke2tjZnO1;Validée;Booba
4;0.523;0.16;0.0448;0.135;1.59e-05;0.6829999999999999;0.627;spotify:track:1C0nyj6S7Dlmw3d5iN4PNg;Plus rien ne m'étonne;Tiken Jah Fakoly
5;0.0697;0.0952;0.0522;0.972;0.833;0.331;0.11900000000000001;spotify:track:1yxtH0kEHhCFQAWIXgidmA;Ave Maria;Johann Sebastian Bach
6;0.0132;0.0914;0.0407;0.953;0.382;0.174;0.10300000000000001;spotify:track:7802P6tTApAfg0iCAtSYai;"Violin Sonata No. 5 In F Major, Op. 24, ""Spring"": Ii. Adagio";Ludwig van Beethoven
7;0.007640000000000001;0.11599999999999999;0.0683;0.996;0.885;0.213;0.133;spotify:track:6jiw7N4nFOqnBZ40nwMMq1;"Piano Sonata No. 14 In C-sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio";Ludwig van Beethoven
8;0.00455;0.113;0.05;0.996;0.866;0.34600000000000003;0.0997;spotify:track:773Rot8tGo8EJc4pYcvfW3;"Piano Sonata No. 8 In C Minor, Op. 13, ""Pathetique"": Ii. Adagio";Ludwig van Beethoven
9;0.0526;0.08800000000000001;0.0433;0.988;0.883;0.0767;0.0396;spotify:track:52ABAoOxcCvag6wCz4Pcjg;"Serenade No. 10 In B-flat Major, K. 361 ""Gran Partita"": Adagio";Wolfgang Amadeus Mozart
10;0.0853;0.10099999999999999;0.0373;0.99;0.9129999999999999;0.361;0.29;spotify:track:5KFYgxdJCyCeWaH4nAVCuS;Piano Concerto No. 19 In F Major, K. 459: Allegro;Wolfgang Amadeus Mozart
11;0.121;0.084;0.0459;0.9590000000000001;0.8809999999999999;0.276;0.45;spotify:track:6DVLRudZv4bprppOo4sSQn;Flute Quartet In A Major, K. 298: Andante;Wolfgang Amadeus Mozart
12;0.0371;0.10099999999999999;0.0379;0.9670000000000001;0.877;0.322;0.217;spotify:track:2jSeo4GTWxCZKaP1H2gfyW;Serenade No. 4 In D Major, K. 203: Andante;Wolfgang Amadeus Mozart
13;0.0882;0.086;0.0451;0.975;0.867;0.33299999999999996;0.332;spotify:track:38lYfR3QK00sloZSW4PEuX;Concerto for Flute & Harp In C Major, K. 299: Ii. Andantino;Wolfgang Amadeus Mozart
14;0.0759;0.0942;0.0406;0.9640000000000001;0.9179999999999999;0.11199999999999999;0.0546;spotify:track:4OsXyB1I3X6kYYe1GU82Zy;The Sleeping Beauty, Op. 66: Entrance of the Good Fairies;Pyotr Ilyich Tchaikovsky
15;0.0192;0.0774;0.0727;0.9940000000000001;0.8390000000000001;0.506;0.11800000000000001;spotify:track:4Lbozc1CNSJNWVmbgBcO0O;12 Morceaux, Op. 40: No. 2. Chanson Triste In G Minor;Pyotr Ilyich Tchaikovsky
16;0.309;0.106;0.0427;0.774;0.0;0.7659999999999999;0.457;spotify:track:371wHShA5ERqTuwuRj8xgG;Rimas pa' seducir;Cultura Profética
17;0.746;0.171;0.0923;0.134;2.33e-05;0.659;0.6659999999999999;spotify:track:2jz6smAw1Pzy7Gs5AJACv3;La complicidad;Cultura Profética
18;0.604;0.18100000000000002;0.059000000000000004;0.15;1.7100000000000002e-05;0.735;0.623;spotify:track:3AUF2LhnUFlSodvFq50bPG;Amante luz;Cultura Profética
19;0.564;0.157;0.0368;0.33299999999999996;0.0009140000000000001;0.799;0.6679999999999999;spotify:track:4HdN4R0n6RU401N0FmS4e2;Para estar;Cultura Profética
20;0.528;0.099;0.191;0.639;0.0;0.499;0.336;spotify:track:0yThzO62cGQo3Y2XEr7JjH;En la oscuridad;Cultura Profética
21;0.7659999999999999;0.165;0.0485;0.165;0.0;0.777;0.768;spotify:track:1rWksds0t6BM5phg9qeEKv;Baja la tensión;Cultura Profética
22;0.5870000000000001;0.0907;0.0485;0.35;0.0;0.8270000000000001;0.769;spotify:track:2K2YkSn2utzsRntEClbyB8;Ilegal;Cultura Profética
23;0.657;0.0843;0.0916;0.354;0.0006190000000000001;0.863;0.775;spotify:track:1iacxi13r4eNkwYEtiqRxB;Somos muchos;Cultura Profética
24;0.6;0.205;0.0443;0.185;1.65e-05;0.66;0.499;spotify:track:5swQPv1Nj5XNgIg5AeAOna;Del tope al fondo;Cultura Profética
25;0.561;0.1;0.0399;0.45399999999999996;0.0233;0.589;0.315;spotify:track:342EXbThPNJ6xXwT5DFTiA;Me faltabas tú;Cultura Profética
26;0.7;0.0475;0.156;0.128;0.0;0.83;0.738;spotify:track:205glCfI2TErd262A6az6T;Verso terso;Cultura Profética
27;0.266;0.11;0.0443;0.9009999999999999;0.0;0.6970000000000001;0.419;spotify:track:0pBewKk1R251xxQzKIh9jr;La espera;Cultura Profética
0;0.47700000000000004;0.0914;0.102;0.281;0.000822;0.457;0.627;spotify:track:0ZpBPavoID3eDbaXKSWpAD;Friends (feat. Bon Iver);Francis and the Lights
1;0.435;0.0913;0.0647;0.46399999999999997;5.27e-06;0.784;0.865;spotify:track:0VaIsQoIQY10uxBrOyZ5cQ;May I Have This Dance (Remix) [feat. Chance the Rapper];Francis and the Lights
2;0.893;0.14800000000000002;0.0705;0.46;0.00024900000000000004;0.606;0.774;spotify:track:0WqfoaxUvOhkOcUYv0rtLx;Black & White;Rudy Mancuso
3;0.851;0.10099999999999999;0.0425;0.0264;0.00017900000000000001;0.649;0.262;spotify:track:2Xa9noXOlgoqSyDYAlwKs1;Salvage (Up All Night) [feat.Poo Bear];Galantis
4;0.91;0.318;0.0566;0.0079;0.0;0.653;0.0921;spotify:track:57p8CBvPOxrvyCbn6ttl5r;Would You Ever;Skrillex
5;0.8220000000000001;0.132;0.057;0.67;0.00115;0.67;0.833;spotify:track:0mr34YS5FIX0b2mi03HuhE;Já Sei Namorar - 2004 Digital Remaster;Tribalistas
6;0.728;0.12;0.171;0.198;5.67e-05;0.588;0.434;spotify:track:4h7eeTElsQMwqzFhu5u2of;Aloha;Møme
0;0.302;0.0887;0.0372;0.736;0.163;0.718;0.33299999999999996;spotify:track:0ZNYGrmcehorhh9JOeg5Iv;Stay Alive;José González
1;0.8540000000000001;0.12300000000000001;0.12300000000000001;0.312;0.0;0.625;0.737;spotify:track:4WDGthi6OTGai45K41Al70;Déjame Ser;Manuel Carrasco
2;0.753;0.0921;0.0407;0.000665;7.74e-06;0.55;0.841;spotify:track:1qfYG2JrchEyJiqKnkE7YQ;What You Know;Two Door Cinema Club
3;0.657;0.0713;0.105;0.264;0.00619;0.863;0.8290000000000001;spotify:track:7anBA0IdgFaN3Pbyk2tog0;No Roots;Alice Merton
4;0.945;0.135;0.0566;0.171;0.9159999999999999;0.731;0.223;spotify:track:6n44rF2nl6rF0q5DYgezS1;Closer;Project Pablo
5;0.24;0.134;0.0334;0.9259999999999999;0.0;0.33899999999999997;0.312;spotify:track:6RMybMAAYmyVCYskvR7vby;All of Me;John Legend
6;0.841;0.0674;0.152;0.0172;0.41100000000000003;0.892;0.825;spotify:track:6mpMjZ1sSkvzICHo9KgTxz;Awoo (feat. Betta Lemme) - Adam Aesalon & Murat Salman Remix;Sofi Tukker
7;0.8690000000000001;0.98;0.0738;0.436;0.0;0.532;0.46;spotify:track:5imzROfmfaPnWpxnmAnmjS;Tambores De Guerra - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
8;0.9179999999999999;0.968;0.18600000000000003;0.28;0.0;0.539;0.293;spotify:track:3KDW5LEX1plgkAumyaVOKt;Aprieta - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
9;0.6809999999999999;0.888;0.0495;0.741;0.0;0.38;0.35100000000000003;spotify:track:2spCVe2Np0biStBPWVq4iB;Y Ahora - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
10;0.81;0.9590000000000001;0.05;0.271;0.0;0.441;0.293;spotify:track:2sz1xR8VGiPnBqQSLAVxFN;Sabrás - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
11;0.7020000000000001;0.9740000000000001;0.0579;0.718;2.46e-05;0.377;0.265;spotify:track:4EaipFhcdR3ZGvyYjq55Q0;Pequeña Sonrisa Sonora - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
12;0.72;0.977;0.0655;0.594;0.0;0.324;0.207;spotify:track:2sxQWt5dz8JmUtKSKFbzzR;La Voz De Dentro - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
13;0.759;0.981;0.0812;0.115;0.0;0.511;0.342;spotify:track:2k5KgE6Ut1YlIofrdgAtRf;Mujer De Las Mil Batallas - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
14;0.912;0.977;0.147;0.0462;0.0;0.629;0.299;spotify:track:0UVwCdSNX5D5ufv8ZuTYSn;Yo Quiero Vivir - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
15;0.88;0.953;0.0827;0.0368;3.07e-06;0.495;0.302;spotify:track:35uZpZPVGXiSabDLnlpYOi;Tan Solo Tú - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
16;0.7440000000000001;0.975;0.0525;0.278;8.25e-06;0.309;0.336;spotify:track:5lmTu3HswH7RaKSFtXVI3r;Bailar El Viento - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
17;0.7859999999999999;0.981;0.0622;0.254;0.0;0.506;0.441;spotify:track:7CQAqzVNn4egJrG5mwqXhB;Uno X Uno - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
18;0.516;0.9390000000000001;0.0609;0.878;1.53e-06;0.348;0.27699999999999997;spotify:track:29c2bDAR3O8JW6pFn8AP5W;Menos Mal - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
19;0.444;0.8390000000000001;0.128;0.89;0.0;0.414;0.606;spotify:track:4LDOFHjwhoRHiuRfbrK9ro;Yo Te Vi Pasar - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
20;0.762;0.96;0.342;0.79;3.48e-05;0.498;0.546;spotify:track:2VAkXAKxetSEBtGA5cKRxK;Soy Afortunado - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
21;0.758;0.978;0.129;0.414;0.0;0.5720000000000001;0.7609999999999999;spotify:track:1s4ZdqVAabaKIjysebxEvt;No Tengo Prisa - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
22;0.733;0.9670000000000001;0.0533;0.754;1.47e-05;0.435;0.25;spotify:track:0cvSiX6Ga5pBfDEOlTmEn6;No Dejes De Soñar - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
23;0.8320000000000001;0.961;0.0622;0.282;3.04e-06;0.536;0.455;spotify:track:375uITcGWzuoaAPJYz2Lp9;Sígueme - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
24;0.879;0.9109999999999999;0.166;0.205;5.88e-05;0.522;0.513;spotify:track:2EvW4BICUdh4XBsRZkSSK6;Que Nadie - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
25;0.317;0.92;0.0539;0.961;7.82e-06;0.371;0.166;spotify:track:6MbBWNGDuBJzDV2NXbQ1bb;Piano Bailando El Viento - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
26;0.8490000000000001;0.9690000000000001;0.157;0.445;0.0;0.485;0.489;spotify:track:3nIfn65xBnop3YVueGHB4F;Ya No - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
27;0.737;0.895;0.0641;0.168;1.58e-06;0.5;0.35;spotify:track:7qLMTG99vUMVELHB0yCjWH;Amor Planetario - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
28;0.7240000000000001;0.748;0.19899999999999998;0.638;5.21e-06;0.48100000000000004;0.518;spotify:track:4UIvzmMCkEZj8cZclXpKun;Sevilla - En Directo En El Estadio Olímpico De La Cartuja De Sevilla 2016;Manuel Carrasco
29;0.7809999999999999;0.616;0.0817;0.127;1.86e-06;0.39399999999999996;0.364;spotify:track:4HWee28fiPF2blImhykCcG;En El Bar De Los Pesares - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
30;0.7040000000000001;0.966;0.0878;0.632;7.15e-05;0.34299999999999997;0.19899999999999998;spotify:track:1fbKeNaD82O8vR08W13jTS;Siendo Uno Mismo - En Directo En El Estadio Olímpico De La Cartuja De Sevilla / 2016;Manuel Carrasco
31;0.434;0.0893;0.0561;0.845;0.0;0.735;0.44799999999999995;spotify:track:0ecukPDyYZTJDN0sfUeREe;Ya No - Versión Acústica;Manuel Carrasco
32;0.44799999999999995;0.109;0.0463;0.87;1.25e-05;0.68;0.498;spotify:track:7Eyny0KIFS5qEFOdfZ19LM;Tambores De Guerra - Versión Acústica;Manuel Carrasco
33;0.307;0.124;0.0996;0.894;0.0;0.455;0.309;spotify:track:3zV7zTXbxb2MEnaThBfgEr;Yo Te Vi Pasar;Manuel Carrasco
34;0.617;0.155;0.0417;0.297;0.0;0.502;0.337;spotify:track:3RBiKNn0qns7N0sOLsMD5O;Cuando Llegó El Momento;Manuel Carrasco
35;0.882;0.225;0.0281;0.0977;0.0;0.633;0.877;spotify:track:19okLEjTyCHK1FfrHfivIA;Quiero Estar A Tu Lado;Manuel Carrasco
36;0.669;0.152;0.0349;0.21100000000000002;0.0;0.557;0.516;spotify:track:0UcKX6QtY5RMu96LJdshhy;La Aventura De Vivir;Manuel Carrasco
37;0.731;0.102;0.0438;0.47700000000000004;0.0;0.45399999999999996;0.363;spotify:track:38tsOMarcSzq1BC74aesqi;Mirándote De Frente;Manuel Carrasco
38;0.9440000000000001;0.318;0.0459;0.0016300000000000002;0.586;0.775;0.39899999999999997;spotify:track:5WYHw1zaj1il0KNfjT6sVz;Gypsy King;CamelPhat
39;0.6729999999999999;0.0856;0.0816;0.36200000000000004;0.531;0.785;0.44299999999999995;spotify:track:2AtleKEZy5KkmlAj0krALx;Matadora;Sofi Tukker
